final_species_name,Cro,A,SpC,InC,InB,SpF,DCS,PVS,DS,LS,VnS,NPRC,SbO,GF,EGFS,DHS,M,TL4,FL4,DC,nPVS,nMS,nVrS,nVnS,nInL,nPM,ncPM,nGS,nCRo,nbNSpL,nLS,ncIp,nbCoA,nSpL,nPR,nSbO,nSpC,nbSbOSpL,TL,SVL,sex,n4TL,n4FL,nS4FL,nDlT,nArT,nAlT
E_capetinga,0,0,1,0,1,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,63,47,72,29,8,2,7,34,3,1,5,9,3,8,8,12,6,1,189,74,M,30,18,3,9,27,NA
E_capetinga,0,1,0,0,2,1,0,2,2,0,1,1,0,1,1,1,1,0,0,1,68,52,71,38,8,2,8,38,4,0,4,11,3,7,8,9,6,1,200,71,F,32,20,4,10,30,179
E_capetinga,0,0,1,0,1,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,71,49,70,34,7,2,7,33,4,0,5,7,3,7,7,11,5,1,194,71,M,32,17,3,13,32,NA
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,60,53,73,35,7,2,7,31,3,0,6,9,3,7,8,11,7,1,180,70,F,32,21,4,11,28,NA
E_capetinga,1,0,1,0,0,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,62,47,63,32,8,2,7,34,3,1,5,10,3,9,8,11,5,1,174,64,M,31,18,2,11,30,NA
E_capetinga,0,0,1,0,1,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,63,47,69,40,8,2,7,32,4,1,6,9,3,8,8,15,6,1,183,62,M,30,17,3,11,29,NA
E_capetinga,0,1,1,0,0,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,58,57,68,34,8,2,6,33,4,1,5,8,3,7,8,12,7,1,184,69,M,28,18,3,11,32,NA
E_capetinga,1,1,1,0,1,0,0,2,2,0,1,1,0,1,0,1,0,0,0,1,63,54,67,33,7,2,7,38,4,0,6,9,3,8,8,11,7,0,159,63,M,31,20,3,13,28,NA
E_capetinga,0,1,0,0,2,0,0,2,2,0,1,1,0,1,1,1,1,0,0,1,64,56,70,33,7,2,7,33,4,0,6,10,3,7,7,9,6,1,190,65,F,32,20,4,10,28,157
E_capetinga,1,1,0,0,1,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,59,45,71,35,6,2,7,34,4,1,6,8,4,8,7,11,8,1,120,60,F,31,21,3,11,24,NA
E_capetinga,1,1,1,0,1,1,0,2,2,0,1,1,0,1,1,1,1,0,0,1,58,55,61,31,8,2,7,36,3,1,7,10,3,7,8,10,6,1,184,76,F,32,19,3,9,26,152
E_capetinga,0,0,0,0,1,0,1,2,2,0,1,1,0,1,0,1,1,0,0,1,77,57,75,36,7,2,7,34,4,1,5,9,3,8,8,12,7,1,211,83,F,34,22,3,10,30,158
E_capetinga,1,1,0,0,1,1,0,2,2,0,1,1,0,1,1,1,1,0,0,1,69,55,70,35,7,2,7,34,4,1,6,9,3,7,8,10,6,1,192,79,M,27,19,3,10,30,154
E_capetinga,0,1,1,0,1,0,0,2,2,0,1,0,0,1,1,0,1,0,0,1,63,57,68,37,7,3,7,36,3,0,6,10,3,8,9,9,6,1,165,63,M,36,20,4,10,33,NA
E_capetinga,0,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,61,51,70,40,8,3,10,37,4,0,6,9,3,8,7,11,8,1,161,67,F,27,19,3,12,37,NA
E_capetinga,0,0,1,0,0,0,0,2,2,0,1,1,0,1,1,1,1,0,0,1,52,51,73,37,8,3,9,30,4,1,5,10,2,8,8,12,7,1,169,68,F,33,22,4,11,32,NA
E_capetinga,0,0,1,0,1,0,0,2,2,0,1,1,0,1,1,1,1,0,0,1,61,60,70,34,7,2,5,28,4,0,5,11,2,7,7,11,6,1,164,64,M,30,18,3,10,33,NA
E_capetinga,0,0,1,0,1,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,59,49,62,34,6,2,6,29,4,1,6,10,1,7,8,14,6,1,207,69,M,29,19,3,10,28,NA
E_capetinga,1,0,1,0,1,1,0,3,1,0,1,1,0,1,0,1,1,0,0,1,66,59,76,33,8,2,7,38,4,1,8,11,3,7,9,11,7,1,166,66,M,31,20,3,10,38,NA
E_capetinga,0,1,1,0,1,0,0,2,2,0,1,1,0,1,0,0,1,0,NA,1,63,51,75,36,8,2,7,36,3,1,5,10,3,8,7,10,7,1,155,67,M,31,19,2,13,27,151
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,1,NA,0,1,62,54,70,35,8,2,7,35,4,1,5,9,4,8,8,11,6,1,221,80,M,31,18,2,11,30,145
E_capetinga,0,1,1,0,1,0,0,2,2,0,1,1,1,1,1,1,1,0,0,1,61,50,61,33,8,2,6,30,4,0,5,7,3,9,7,12,8,1,216,79,M,30,19,0,10,29,NA
E_capetinga,0,1,1,0,1,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,61,47,65,34,7,2,5,44,4,1,5,7,2,7,7,11,12,1,NA,29,NA,31,18,2,10,20,NA
E_capetinga,1,1,1,0,0,1,0,2,2,0,1,1,0,0,0,0,1,0,0,1,54,46,67,35,8,2,4,36,4,0,5,9,2,7,8,12,8,1,64,33,NA,31,18,3,9,22,NA
E_capetinga,1,1,1,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,59,54,64,31,12,3,7,47,6,3,9,11,2,12,7,22,14,1,79,39,NA,32,18,2,10,30,NA
